id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
1,Migrant workers deserve state support,Fairfax Media Management Pty Limited,0.666666667,0,0,1,0.666666667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Celebrating the migrant mosaic,News Ltd.,0.833333333,0.5,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
3,IT’S HOW CHINA WOULD REACT,News Ltd.,0.5,1,0.5,0,0.333333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,Balance needed on new gig worker laws,Fairfax Media Management Pty Limited,0.166666667,0,0.5,0,0.666666667,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,Chinese Australians' key role in virus fight,Fairfax Media Management Pty Limited,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
6,Too soon to talk about silver linings?,Fairfax Media Management Pty Limited,0.5,0,0.5,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
7,Battle against power and glory,Fairfax Media Management Pty Limited,0.333333333,0,0,0.5,0.666666667,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,Bear of racism too easily roused,Fairfax Media Management Pty Limited,1,0,0,1,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Black players a beacon of hope for kids,Fairfax Media Management Pty Limited,0.833333333,0,0,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,Pathfinder' is treading a fine line,Fairfax Media Management Pty Limited,1,0,0,1,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"Policing is a service, not a force",Fairfax Media Management Pty Limited,0.666666667,1,0.5,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,The time has come for a reckoning,Fairfax Media Management Pty Limited,0.333333333,0,0,0,0.333333333,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
13,Time to heed cry for justice,Fairfax Media Management Pty Limited,0.833333333,0,1,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,Toppling statues challenges history,Fairfax Media Management Pty Limited,0.5,0,0.5,0,0.333333333,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Here's why Black Lives Matter resonates,Federal Capital Press of Australia Pty Ltd,0.5,0,0,0.5,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
16,Deadly gang hatred needs real response,News Ltd.,0,1,0,0.5,0.333333333,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
17,Let’s tear it all down at the dawn of Great Awokening,News Ltd.,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,POLITICS HAS DROWNED OUT THE DEATH OF A BLACK MAN,News Ltd.,0.166666667,0.5,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RACE PANIC GOES TO NEXT LEVEL,News Ltd.,0.333333333,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Spare me racism lectures from ABC,News Ltd.,0.166666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,the Advertiser Hard times in US worsened by anarchy,News Ltd.,0.166666667,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
22,The Advertiser Respect for all,News Ltd.,0.666666667,0,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,"FROM BLACK LIVES TO SPORT, WE’RE HIGH ON INEQUALITY",News Ltd.,0,1,0.5,0,0.333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,NOW TAKE ACTION ON RACISM,News Ltd.,0.333333333,1,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25,Race hustle is powering up,News Ltd.,0.833333333,1,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Race politics spurs spread,News Ltd.,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,The Advertiser SA Award winners show the best of us,News Ltd.,0.666666667,0,0.5,0,0.333333333,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
28,TWIGGY DESCRIBES AN AUSTRALIA WE DON’T KNOW,News Ltd.,0.666666667,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,WEAK GLORIFIED IN OUR CULTURE,News Ltd.,0.166666667,1,0.5,0.5,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
30,"Clear, strong policies needed to take racism out of the game",West Australian Newspapers Limited,0.833333333,0,0,0.5,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,IR package favours business flexibility,Fairfax Media Management Pty Limited,0.166666667,0,0.5,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
32,Public housing tenants must be heeded,Fairfax Media Management Pty Limited,0.833333333,0,0.5,1,0.666666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,The people demand refugees be helped,Fairfax Media Management Pty Limited,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Curfew must offer plan for those with no choice,Fairfax Media Management Pty Limited,0.333333333,0,1,0.5,0.666666667,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
35,How to fill the tradie skills gap: women,Fairfax Media Management Pty Limited,0.666666667,0,0.5,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
