id,heading,publisher,Firstnations,Women,Children,Racialminorities,Peoplewithdisabilitiesorchronichealthconditions,Unemployedorprecariouslyemployed,Youngpeople,Violence,Work,Criminaljustice,Prejudiceanddiscrimination,Healthcare,Familyrelations,inequality,Shelter,groups,issues
0,Migrant workers deserve state support,Fairfax,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Women;Racialminorities,Healthcare
1,Celebrating the migrant mosaic,News,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,Racialminorities,Work;Criminaljustice;Prejudiceanddiscrimination
2,IT’S HOW CHINA WOULD REACT,News,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Racialminorities,Prejudiceanddiscrimination;Healthcare
4,Chinese Australians' key role in virus fight,Fairfax,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Racialminorities,Violence;Criminaljustice;Prejudiceanddiscrimination
5,Too soon to talk about silver linings?,Fairfax,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,Racialminorities,Violence;Familyrelations;Shelter
6,Battle against power and glory,Fairfax,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Firstnations;Racialminorities,Violence;Criminaljustice
7,Bear of racism too easily roused,Fairfax,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Firstnations;Racialminorities,Prejudiceanddiscrimination
8,Black players a beacon of hope for kids,Fairfax,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Firstnations;Racialminorities,Prejudiceanddiscrimination
9,Pathfinder' is treading a fine line,Fairfax,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Firstnations;Racialminorities,Criminaljustice
10,"Policing is a service, not a force",Fairfax,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Firstnations;Racialminorities,Prejudiceanddiscrimination
11,The time has come for a reckoning,Fairfax,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Firstnations;Women;Racialminorities,Violence;inequality
12,Time to heed cry for justice,Fairfax,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Firstnations;Racialminorities,Criminaljustice;Prejudiceanddiscrimination
13,Toppling statues challenges history,Fairfax,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Firstnations;Women;Racialminorities,Violence
14,Here's why Black Lives Matter resonates,Others,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Firstnations;Racialminorities,Criminaljustice;Prejudiceanddiscrimination
